UNIV_ID,BRANCH,UNIV_NAME,City,Address,State,ZIP,Sector_id
155937001,Main Campus,Sterling College,STERLING,125 W. COOPER,KS,67579,2
155973001,Main Campus,Tabor College,HILLSBORO,400 S JEFFERSON,KS,670631799,2
156082001,WASHBURN UNIVERSITY,Washburn University,TOPEKA,1700 SW COLLEGE AVENUE,KS,666211110,1
156107001,Main Campus,Wichita State University-Campus of Applied Sciences and Technology,Wichita,4004 N Webb Rd. Bldg 100,KS,67226,4
156107008,Southside Campus,Wichita State University-Campus of Applied Sciences and Technology,Wichita,4501 East 47th Street South,KS,67210,4
156107009,City Center,Wichita State University-Campus of Applied Sciences and Technology,Wichita,301 South Grove,KS,67211,4
156107010,West Campus,Wichita State University-Campus of Applied Sciences and Technology,Maize,3801 N Walker Ave,KS,67101,4
156125001,Main Campus,Wichita State University,WICHITA,1845 FAIRMOUNT,KS,672600001,1
156125002,Downtown Center/Old Town Centers,Wichita State University,Wichita,358 N. Main,KS,67202,1
156125003,Wichita State University South,Wichita State University,Derby,"200 W. Greenway St., Ste 15A",KS,67037,1
156125004,West Campus,Wichita State University,Wichita,3801 N. Walker Box 200,KS,671010200,1
156134001,Main Campus,Wichita Technical Institute,WICHITA,2051 S. Meridian,KS,672131681,6
156134002,WTI Topeka Campus,Wichita Technical Institute,Topeka,3712 SW. Burlingame,KS,666091217,6
156134003,WTI Joplin Campus,Wichita Technical Institute,Joplin,1715 N Rangeline,MO,64801,6
156134004,Wichita Technical Institute-East Campus,Wichita Technical Institute,Wichita,"6130 E Central, Suite 202",KS,67208,6
156134005,WTI Tulsa Campus,Wichita Technical Institute,Tulsa,8421 East 61st Street South Suite U,OK,74133,6
156189001,Main Campus,Alice Lloyd College,PIPPA PASSES,100 PURPOSE RD,KY,41844,2
156213001,ASBURY UNIVERSITY,Asbury University,WILMORE,One Macklem Drive,KY,403901198,2
156222001,Asbury Theological Seminary,Asbury Theological Seminary,WILMORE,204 N LEXINGTON AVE,KY,403901199,2
156222002,Asbury Theological Seminary - Dunnam Campus,Asbury Theological Seminary,Orlando,8401 Valencia College Lane,FL,32825,2
156222003,Memphis Extension Site,Asbury Theological Seminary,Memphis,4488 Poplar Ave,TN,38117,2
156231001,College Drive  Campus,Ashland Community and Technical College,Ashland,1400 College Drive,KY,411013683,4
156231002,Roberts Drive Campus,Ashland Community and Technical College,Ashland,4700 Roberts Drive,KY,41102,4
156231003,Technology Drive Campus,Ashland Community and Technical College,Ashland,902 Technology Drive,KY,41143,4
156277001,Barrett and Company School of Hair Design,Barrett and Company School of Hair Design,NICHOLASVILLE,973 KIMBERLY SQ UNIT F,KY,403562152,6
156286001,Main Campus,Bellarmine University,LOUISVILLE,2001 NEWBURG RD,KY,402050671,2
156295001,Main Campus,Berea College,BEREA,101 Chestnut Street,KY,404042184,2
156310001,Main Campus,PJ's College of Cosmetology-Bowling Green,BOWLING GREEN,1901 RUSSELLVILLE ROAD,KY,42101,6
156310002,PJ'S COLLEGE OF COSMETOLOGY,PJ's College of Cosmetology-Bowling Green,GREENFIELD,1400 W MAIN ST,IN,46140,6
156310003,PJ'S COLLEGE OF COSMETOLOGY,PJ's College of Cosmetology-Bowling Green,MUNCIE,3100 W. Kilgore Avenue,IN,47303,6
156310004,PJ'S COLLEGE OF COSMETOLOGY,PJ's College of Cosmetology-Bowling Green,INDIANAPOLIS,4010 South Emerson,IN,46203,6
156310005,PJ'S COLLEGE OF COSMETOLOGY,PJ's College of Cosmetology-Bowling Green,PLAINFIELD,2026 STAFFORD RD,IN,46168,6
156310006,PJ's COLLEGE OF COSMETOLOGY,PJ's College of Cosmetology-Bowling Green,Louisville,2911 S. Hurstbourne Pkwy,KY,40220,6
156338001,Main Campus,Southcentral Kentucky Community and Technical College,Bowling Green,1845 Loop Dr,KY,421013601,4
156338002,Kentucky Advanced Technology Institute,Southcentral Kentucky Community and Technical College,Bowling Green,1127 Morgantown Rd.,KY,421019202,4
156338003,Glasgow Campus,Southcentral Kentucky Community and Technical College,Glasgow,129 State Street,KY,421411449,4
156338004,Glasgow Technical Campus,Southcentral Kentucky Community and Technical College,Glasgow,500 Hilltopper Way,KY,42141,4
156338005,Transpark Campus,Southcentral Kentucky Community and Technical College,Bowling Green,221 Commonwealth Blvd.,KY,42101,4
156338006,Franklin Simpson Campus,Southcentral Kentucky Community and Technical College,Franklin,175 Davis Drive,KY,42134,4
156338007,Metcalfe Adult Education,Southcentral Kentucky Community and Technical College,Edmonton,103 Ralph Edwards Street,KY,42129,4
156356001,Main Campus,Brescia University,OWENSBORO,717 FREDERICA ST,KY,423013023,2
